2019-01-27 13:20:24.046 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 13:20:24.626 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 13:23:28.319 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 13:23:28.954 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 13:32:19.597 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 13:32:20.168 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 13:37:06.408 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 13:37:07.033 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 14:18:45.971 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 14:18:46.604 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 14:23:17.285 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 14:23:17.897 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 15:39:21.929 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 15:39:22.447 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 15:43:56.202 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 15:43:57.003 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 15:57:28.230 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 15:57:28.935 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

